city,address,area,floor,name,price,province,rooms,toward,unit,year,url
长沙,洋湖大道与坪塘大道交口,115m²,中层(共24层),中海国际社区,172万,湖南,3室2厅,,14957元/m²,2016年建,https://example.com/house/CS006
长沙,星沙大道与开元路交口,87m²,低层(共18层),华润凤凰城,106万,湖南,3室1厅,南向,12184元/m²,2012年建,https://example.com/house/CS007
长沙,梅溪湖路与近湖二路交口,142m²,高层(共36层),金茂梅溪湖,355万,湖南,4室2厅,湖景南向,25000元/m²,2021年建,https://example.com/house/CS008
郑州,农业东路与如意西路交口,98m²,中层(共32层),建业天筑,248万,河南,3室2厅,南向,25306元/m²,2018年建,https://example.com/house/ZZ001
郑州,航海东路与中州大道交口,112m²,高层(共34层),富田太阳城,168万,河南,3室2厅,南北向,15000元/m²,2013年建,https://example.com/house/ZZ002
郑州,长江路与嵩山路交口,76m²,低层(共22层),亚星盛世,116万,河南,2室1厅,东南向,15263元/m²,2011年建,https://example.com/house/ZZ003
郑州,金水东路与心怡路交口,128m²,中层(共30层),绿地原盛国际,276万,河南,4室2厅,南北向,21563元/m²,2017年建,https://example.com/house/ZZ004
郑州,开元路与文化北路交口,89m²,高层(共27层),正商林语溪岸,132万,河南,3室2厅,南向,14831元/m²,2019年建,https://example.com/house/ZZ005
郑州,科学大道与瑞达路交口,61m²,中层(共18层),升龙又一城,90万,河南,2室1厅,西南向,14754元/m²,2015年建,https://example.com/house/ZZ006
郑州,南三环与连云路交口,105m²,低层(共26层),橄榄城都市广场,139万,河南,3室2厅,南向,,2014年建,https://example.com/house/ZZ007
郑州,龙湖中环路与龙翔八街交口,136m²,高层(共33层),永威上和院,365万,河南,4室2厅,南北向,26838元/m²,2020年建,https://example.com/house/ZZ008
